6.1101,55.92
5.5277,60.302
8.5186,86.62
7.0032,78.54
5.8598,58.233
8.3829,88.86
7.4764,63.483
8.5781,90
6.4862,65.987
5.0546,58.166
5.7107,42.522
14.164,145.05
5.734,41.551
8.4084,72.258
5.6407,57.1618
5.3794,55.129
6.3654,63.048
5.1301,52.6077
6.4296,69.518
7.0708,63.893
6.1891,67.386
20.27,207.67
5.4901,42.63
6.3261,51.875
5.5649,50.825
18.945,186.38
12.828,125.01
10.957,90.467
13.176,136.92
22.203,221.47
5.2524,19.2
6.5894,59.966
9.2482,81.34
5.8918,58.495
8.2111,75.426
7.9334,65.623
8.0959,71.164
5.6063,43.928
12.836,111.17
6.3534,54.974
5.4069,50.5657
6.8825,69.115
11.708,103.854
5.7737,54.406
7.8247,67.318
7.0931,70.463
5.0702,51.337
5.8014,58.44
11.7,110.043
5.5416,50.179
7.5402,77.504
5.3077,58.396
7.4239,72.885
7.6031,79.981
6.3328,64.233
6.3589,-4.211
6.2742,49.756
5.6397,46.042
9.3102,93.624
9.4536,94.141
8.8254,81.694
5.1793,-7.4279
21.279,209.29
14.908,130.54
18.959,170.54
7.2182,78.852
8.2951,87.442
10.236,97.754
5.4994,50.173
20.341,209.92
10.136,96.799
7.3345,60.259
6.0062,62.784
7.2259,73.411
5.0269,-6.807
6.5479,39.9678
7.5386,32.845
5.0365,57.014
10.274,97.526
5.1077,56.576
5.7292,45.7953
5.1884,39.0421
6.3557,63.7861
9.7687,75.435
6.5159,53.436
8.5172,82.415
9.1802,97.981
6.002,91.2695
5.5204,59.52
5.0594,48.214
5.7077,58.451
7.6366,62.959
5.8707,72.029
5.3054,79.869
8.2934,81.4454
13.394,120.551
5.4369,66.1705
